Subject_ITA                                                       , Subject                                                        , Sigla           , Cat, Sub_Cat, Class, Sub_Class, Sub_Class-1, Iconclass                     , Ordinare, Cluster, Section        , Getty    , Getty_2
Sigismondo_di_Lussemburgo                                         , Sigismund_of_Luxembourg                                        , Kaiser(SigL)    ,   6,      61, 61B  ,         2, 61B2       , 61B2(SIGISMOND_OF_LUXEMBOURG) , 61B     , 8_3    , Portrait       ,          ,          
Teodosio_I                                                        , Theodosius_I                                                   , Teodosio        ,   6,      61, 61B  ,         2, 61B2       , 61B2(THEODOSIUS)              , 61B     , 8_3    , Portrait       ,          ,          
Vasco_di_Lucena                                                   , Vasque_de_Lucene                                               , VascoL          ,   6,      61, 61B  ,         2, 61B2       , 61B2(VASQUE_DE_LUCENE)        , 61B     , 8_3    , Portrait       ,          ,          
Personaggi_storici_femminili                                      , Historical_female_person                                       , Port(F)         ,   6,      61, 61BB ,          , 61BB       , 61BB                          , 61BB    , 8_4    , PortraitF      ,          ,          
Maria_Antonietta                                                  , Marie_Antoinette                                               , MAntoinette     ,   6,      61, 61BB ,         2, 61BB2      , 61BB2(MARIE_ANTONIETTE)       , 61BB    , 8_4    , PortraitF      ,          ,          
Eugenia_de_Montijo                                                , Eugenie_de_Montijo                                             , Empress(Eug)    ,   6,      61, 61BB ,         2, 61BB2      , 61BB2(EUGENIE_DE_MONTIJO)     , 61BB    , 8_4    , PortraitF      ,          ,          
Elisabetta_I_Tudor                                                , Elisabeth_i_Tudor                                              , Queen(EliI)     ,   6,      61, 61BB ,         2, 61BB2      , 61BB2(ELISABETH_I_TUDOR)      , 61BB    , 8_4    , PortraitF      ,          ,          
Arco_di_Costantino                                                , Arch_of_Constantine                                            , ArcoC           ,   6,      61, 61F  ,          , 61F        , 61F(ARCH_OF_COSTANTINE)       , 61F     , 10_3   , Ruin           ,          ,          
Arco_di_Tito                                                      , Arch_of_Titus                                                  , ArcoT           ,   6,      61, 61F  ,          , 61F        , 61F(ARCH_OF_TITUS)            , 61F     , 10_3   , Ruin           ,          ,          
Colosseo                                                          , Colosseum                                                      , Colosseum       ,   6,      61, 61F  ,          , 61F        , 61F(COLOSSEUM)                , 61F     , 10_3   , Ruin           ,          ,          
Bibbia                                                            , Bible                                                          , Bible           ,   7,       7, 7    ,          , 7          , 7                             , 7       , 2_4    , OT_Story       ,          ,          
Vecchio_Testamento                                                , Old_Testament                                                  , AT(sto)         ,   7,      71, 71   ,          , 71         , 71                            , 71      , 2_4    , OT_Story       ,          ,          
Genesi_da_Creazione_ad_Adamo_ed_Eva                               , Genesis_from_the_Creation_to_Adam_and_Eve                      , Genesis         ,   7,      71, 71A  ,          , 71A        , 71A                           , 71      , 2_4    , OT_Story       ,          ,          
i_sei_giorni_della_creazione                                      , Six_day_of_creation                                            , Crea            ,   7,      71, 71A  ,         2, 71A2       , 71A2                          , 71      , 2_4    , OT_Story       ,          ,          
creazione_dell_uomo                                               , Creation_of_man                                                , AdEv            ,   7,      71, 71A  ,         3, 71A3       , 71A3                          , 71      , 2_4    , OT_Story       , 901000816,          
Eden                                                              , Eden                                                           , Eden            ,   7,      71, 71A  ,         3, 71A3       , 71A321                        , 71      , 2_4    , OT_Story       ,          ,          
storia_di_Caino_e_Abele                                           , Cain_and_Abel                                                  , CaiAb           ,   7,      71, 71A  ,         8, 71A8       , 71A8                          , 71      , 2_4    , OT_Story       , 901001911,          
Storia_di_Noè                                                     , Story_of_Noah                                                  , Noah(sto)       ,   7,      71, 71B  ,         3, 71B3       , 71B3                          , 71      , 2_4    , OT_Story       , 901001919,          
Torre_di_Babele                                                   , Tower_of_Babel                                                 , TBab            ,   7,      71, 71B  ,         4, 71B4       , 71B42                         , 71      , 2_4    , OT_Story       , 901000608,          
storia_di_Abramo                                                  , Story_of_Abraham                                               , Abr(sto)        ,   7,      71, 71C  ,         1, 71C1       , 71C1                          , 71      , 2_4    , OT_Story       , 901001926,          
Distruzione_di_Sodoma_e_Gomorra                                   , Destruction_of_Sodom_and_Gomorrah                              , Sodom           ,   7,      71, 71C  ,         1, 71C1       , 71C124                        , 71      , 2_4    , OT_Story       ,          ,          
Lot_e_le_figlie                                                   , Lot_and_the_daughter                                           , Lot             ,   7,      71, 71C  ,         1, 71C1       , 71C125                        , 71      , 2_4    , OT_Story       , 901000846,          
Agar_e_Ismaele_nel_deserto                                        , Agar_and_Ismael_in_the_wilderness                              , Agar(sto)       ,   7,      71, 71C  ,         1, 71C1       , 71C1284                       , 71      , 2_4    , OT_Story       , 901002199,          
Sacrificio_di_Isacco                                              , Sacrifice_of_Isaac                                             , SacI            ,   7,      71, 71C  ,         1, 71C1       , 71C131                        , 71      , 2_4    , OT_Story       , 901000268,          
storia_di_Isacco                                                  , Story_of_Isaac                                                 , Isa(sto)        ,   7,      71, 71C  ,         2, 71C2       , 71C2                          , 71      , 2_4    , OT_Story       , 901000952,          
storia_di_Giacobbe                                                , Story_of_Jacob                                                 , Jac(Sto)        ,   7,      71, 71C  ,         3, 71C3       , 71C3                          , 71      , 2_4    , OT_Story       , 901000501,          
Sogno_di_Giacobbe                                                 , The_dream_of_Jacob                                             , Jac(Ladder)     ,   7,      71, 71C  ,         3, 71C3       , 71C3121                       , 71      , 2_4    , OT_Story       ,          ,          
Storia_di_Giuseppe                                                , Genesis_Story_of_Joseph                                        , Joseph(sto)     ,   7,      71, 71D  ,          , 71D        , 71D                           , 71      , 2_4    , OT_Story       , 901000525,          
Esodo_Storia_di_Mosè                                              , Esodo_Story_of_Moses                                           , Mos(sto)        ,   7,      71, 71E  ,         1, 71E1       , 71E1                          , 71      , 2_4    , OT_Story       , 901000167,          
Miracolo_della_Manna                                              , Miracle_of_the_Manna                                           , Manna           ,   7,      71, 71E  ,         1, 71E1       , 71E125                        , 71      , 2_4    , OT_Story       ,          ,          
Mosè_sul_Monte_Sinai_con_le_tavole_della_legge                    , Moses_on_Mount_Sinai_with_the_tables_of_the_law                , Mos(Tab)        ,   7,      71, 71E  ,         1, 71E1       , 71E134                        , 71      , 2_4    , OT_Story       ,          ,          
il_libro_di_Giosuè                                                , Book_of_Joshua                                                 , Joshua(sto)     ,   7,      71, 71E  ,         5, 71E5       , 71E5                          , 71      , 2_4    , OT_Story       , 901000706,          
storia_di_Giaele_e_Sisara                                         , Story_of_Jael_and_Sisara                                       , Jael            ,   7,      71, 71F  ,         1, 71F1       , 71F154                        , 71      , 2_4    , OT_Story       ,          ,          
il_canto_di_vittoria_di_Debora                                    , The_song_of_victory_of_Deborah                                 , Deborah         ,   7,      71, 71F  ,         1, 71F1       , 71F155                        , 71      , 2_4    , OT_Story       ,          ,          
Il_tempo_di_Sansone                                               , Story_of_Samson                                                , Sam(sto)        ,   7,      71, 71F  ,         3, 71F3       , 71F3                          , 71      , 2_4    , OT_Story       , 901000362,          
Sansone_e_Dalila                                                  , Samson_and_Delilah                                             , SamDal          ,   7,      71, 71F  ,         3, 71F3       , 71F37                         , 71      , 2_4    , OT_Story       , 901001912,          
l_idolatria_di_Mica_Ephraimita                                    , The_Idolatry_of_the_Ephraimite_Micah                           , Micah           ,   7,      71, 71F  ,         4, 71F4       , 71F4                          , 71      , 2_4    , OT_Story       ,          ,          
storia_di_Rut_la_Moabita                                          , Story_of_Ruth                                                  , Ruth(sto)       ,   7,      71, 71F  ,         6, 71F6       , 71F6                          , 71      , 2_4    , OT_Story       ,          ,          
storia_di_Samuele                                                 , Story_of_Samuel                                                , Samuel(sto)     ,   7,      71, 71F  ,         8, 71F8       , 71F8                          , 71      , 2_4    , OT_Story       , 901000486,          
Storia_di_Saul                                                    , Story_of_Saul                                                  , Saul(sto)       ,   7,      71, 71G  ,          , 71G        , 71G                           , 71      , 2_4    , OT_Story       , 901000119,          
Storia_di_Davide                                                  , Story_of_David                                                 , King(D)sto      ,   7,      71, 71H  ,          , 71H        , 71H                           , 71      , 2_4    , OT_Story       , 901001014,          
storia_di_David_e_Golia                                           , David_and_Goliath                                              , DavGol          ,   7,      71, 71H  ,         1, 71H1       , 71H14                         , 71      , 2_4    , OT_Story       ,          ,          
David_e_Betsabea                                                  , David_and_Bathsheba                                            , Bathsheba       ,   7,      71, 71H  ,         7, 71H7       , 71H7                          , 71      , 2_4    , OT_Story       ,          ,          
